	상담사답변
1466	저희은행에서 급여통장을 만드시면 됩니다
1472	급여이체 통장이라 회사의 재직증명서와 본인 신분증, 도장이 필요합니다.
1474	아니요,월10회까지 면제 입니다
1478	네,조금씩 다를 수 있습니다.
1484	네,만21세 이상이시면 가능하십니다.
1486	소득기준과 직업에 따라 다르세요
1496	네,감사합니다.고객님의 현재 대출가능 금액은 3000만원입니다.
1498	자세하게 알아보시려면 은행을 직접 방문해서 상담받아보셔야 합니다.
1500	좋은 결과 바랍니다.
1503	죄송합니다.불가능합니다.
1505	출자금통장은 특성상 해지 전 출금이나 이체가 불가합니다.
1509	 이체 차단 기준 값은 출금계좌입니다
1511	차단된 출금 계좌로 인터넷뱅킹, 스마트뱅킹, 텔레뱅킹을 사용할 경우 당연히 차단됩니다.
1515	죄송하지만 그것도 불가능합니다.
1519	네. 지금까지 상담원 OOO였습니다.
1523	네.가능합니다.
1527	원금상환/한도해지 메뉴 보이실 겁니다.
1529	원금상환 메뉴 선택하시고 진행하시면됩니다.
1533	 대출약정 체결시 선택한 다음날 마이너스 계좌에서 처리됩니다.
1535	출금되는 날짜 변경으로, 동일 금액을 사용하셨더라도 일수에 따라 출금되는 이자금액이 달라질 수 있습니다.
1539	네. 지금까지 상담원 OOO였습니다.
1542	네, 고객님. 가능합니다.
1549	10일, 24일로 변경 가능하십니다.
1551	네, 10일로 변경완료했습니다.
1553	그렇지 않습니다. 요번달은 20일로 그대로 결제되고 다음달부터 변경된 날짜에 결제됩니다.
1555	변경 후 처리되는데 일주일이 걸립니다.
1562	네, 맞습니다.. 고객님.
1564	현재 납입 보험료 일부금액에 대해 대출이 가능합니다.
1566	네, 바로 알아봐드리겠습니다.
1571	보험계약대출 가능 금액은 200만원으로 조회되고 있습니다.
1573	네, 보험계약대출의 경우 납입한 보험료의 일부를 대출해 드리는 거라 생각하신 금액과 다를 수 있습니다.
1576	5%로 이용하실 수 있습니다.
1579	대출금리는 보험상품마다 보험사마다 조금씩의 차이가 있습니다.
1584	1회 이체한도는 1억원 이하입니다.
1586	1회에 1억원이시구요 1일 이체한도는 5억원입니다.
1588	보안카드는 1회 이체한도가 5백만원이고, 1일 이체한도는 1천만원 이하입니다.
1590	네 가능하십니다. 증액일 경우에는 모바일 뱅킹에 접속하셔소 비대면실명 확인후  보안등급별로 한도에 맞춰서 증액 가능 합니다
1592	네 이체한도를 감액하실경우에 인터넷 뱅킹으로 금액을 다시 원상태로 감액하실수도 있습니다.
1594	우선 OO은행 쏠에 로그인 하시면 오른쪽 상단에 전체 메뉴에서 관리로 가시면 입출금 이체한도 관리에서 감액 가능 하십니다.
1596	네 물론 가능하십니다.
1598	00지점은 9시부터 4시까지가 영업시간입니다.
1600	궁금한 사항이 있으시면  전화문의해 주세요, 감사합니다.
1602	우대 고객으로 가입되어 있으시면 수수료 면제 받으실 수 있습니다.
1604	저희 은행을 주거래 은행으로 급여를 지급받으시는 통장이 있으시면 됩니다.
1609	통장 개설시 필요한 서류를안내해 드리겠습니다.
1611	급여이체 통장이므로 재직증명서와 본인 신분증, 사용하실 도장이 필요하십니다.
1613	월 5회 면제 입니다.
1615	영업점에 직접 방문하시면 더 자세한 안내를 받으실 수있습니다.
1617	영업점마다 조금씩은 상이할수 있습니다.
1624	법인의 우대서비스는 사업자의 거래 실적과 조건에 따라 다르실수 있습니다.
1626	처음 사업장명의 통장을 발급받으신다면 수수료 우대 혜택이 가능한 법인 입출금통장이 발급가능하십니다.
1628	신규 통장 발급은 영업점에서만 가능합니다.
1630	전자금융 이체 수수료 월 5회 면제 가능합니다.
1634	사업자등록증이 사본이 필요합니다.
1636	사업자 대표자의 신분증과 도장이 필요합니다.
1640	바로 문자발송해 드렸습니다.
1642	조건에 따라 신용대출 금액이 상이합니다.
1644	고객님의 연소득, 부채, 신용등급, 재직여부에 따라 다르게 산출됩니다.
1646	신용심사에 따라 한도는 달라지게 됩니다.
1648	고객님의 연소득과 부채 기타 신용의  평균으로 심사하게 될것입니다.
1650	가까운 지점을 방문해보시면 예상 금액을 알 수 있습니다.
1653	모바일 앱에서도 알 수 있습니다.
1655	대출한도조회를 통해 예상금리도 같이 알아 보실 수 있습니다
1657	홈페이지를 활용하시는 방법도 있으시고 좀 더 정확하게 알아보시려면 지점을 방문해 보시는것을 권해 드립니다.
1663	네 가능 하십니다.
1665	OO은행 앱을 다운받으시면 됩니다.
1667	앱을 이용해야 사용가능하십니다.
1669	생체인증 서비스를 등록하고 사용하시면 됩니다.
1672	그럼 사용가능 하십니다.
1674	영업점에 방문하셔서 1인 인증을 받고 등록하신 후 사용가능 하십니다.
1676	스마트 기기에 따라서 생체인증 방식이 다를 수 있습니다.
1678	갤럭시 노트 8이후 모델은 지문과 홍채 중 선택이 가능합니다.
1680	감사합니다.
1684	우선 고객님 핸드폰에 저희 은행 앱이 설치되어져 있어야 합니다.
1690	생체인증 서비스를 등록하신 후 사용하시면 됩니다.
1692	스마트폰 기기에 따라 인증방식이 다릅니다.
1695	아이폰 8이하 모델은 지문인식만 가능하십니다.
1697	갤럭시 노트 8이후 모델은 지문과 홍채 중 선택 하시면 됩니다..
1700	지금 가지고 계신 폰에 지문등록하시고 교체 후에도 같은 방법으로 지문등록 해서 사용하시면 됩니다.
1702	한도상향 가능하신지 조회해 보겠습니다.
1705	감사합니다. 확인결과 한도 금액 상향 가능하신걸로 확인됐습니다.
1708	1000만원 한도입니다.
1710	1600만원 까지 상향 가능 하십니다.
1716	한도 상향 인증 되셨구요 내일부터 상한액으로 이용가능하십니다.
1721	네 고객님의 신용카드로 사용가능하신 단기카드대출 금액이십니다.
1723	네 그렇습니다.
1727	네 가능하십니다.
1729	본인 확인을 위한 인증이 필요합니다. 주민등록번호 입력해 주세요
1733	고객님께서 사용가능 하신 현금서비스 한도는 0원으로 바뀌셨습니다.
1735	네 그렇습니다.
1738	상향하실 경우에는 신용도에 따라서 금액이 책정될수 있습니다.
1741	인하조건에 해당되셔야 합니다.
1745	대출시점과 비교해서 금리인하와 신청시점에 비교해서 개인신용도가 상승한 경우가 조건입니다.
1747	있습니다
1749	대출받으신 후 6개월 이후에  신청이 가능합니다.
1751	네 횟수도 정해져 있습니다.
1753	2회 신청 가능하십니다.
1755	신분증 지참 후 지점 방문하면 신청가능하십니다.
1757	홈페이지의 사이버창구 금리인하신청하시면 가능하십니다.
1759	감사합니다. 더 문의사항 있으시면 전화주세요
1761	ATM기기를 이용하여 출금하실경우 1회 한도가 정해져 있습니다
1763	1회 한도는 70만원으로 정해져 있습니다
1765	대포통장 근절대책의 일환으로 시행하고 있는 제도입니다.
1767	필요하신 금액을 나누어서 출금해 주시면 됩니다.
1769	네 그렇습니다.
1771	네 본인이 정한 1일 출금한도금액이 정해져 있습니다.
1773	영업점에 방문하시고 본인확인하신 후 1일 출금한도는 늘리실수 있습니다.
1775	가능하십니다. 영업점에 내방하시면 한도금액 지정을 따로 하실 수 있습니다.
1779	문의사항이 있을 시 전화주시면 됩니다.
1784	ATM기를 이용한 이체는 취소하지 못합니다.
1786	입금 받은 예금주의 동의 없이는 자금반환은 불가합니다.
1788	우선 콜센터로 연락해서 자금반환거래요청 해주셔야 합니다.
1790	네 돌려받을 수 있으십니다.
1792	돌려받지 못하십니다.
1794	아직 저희 은행에선 그런 제도가 없습니다.
1796	개인정보는 공유되지 않습니다.
1799	OOOO-OOOO입니다. 감사합니다.
1801	네 가능하십니다.
1803	한국장학재단 홈페이지의 대출 메뉴를 통해 신청하시면 됩니다.
1805	네 본인이 직접 신청하시면 됩니다.
1807	OOOO-OOOO으로 전화문의 주시면 자세한 설명을 들을 수 있습니다.
1809	가까운 OO은행지점에서 인터넷 뱅킹 가입 후 신청하시면 됩니다.
1811	네 지점 직원분께 발급 요청하시면 됩니다.
1813	네 그렇습니다.
1815	보통은 일주일 정도의 시간이 소요됩니다.
1819	알겠습니다. 고객님
1825	조회해 본 결과 당사에 고객님 명의로 된 예탁금이 있습니다.
1827	예탁금이 들어있는 원금의 95퍼센트까지 대출이 가능합니다.
1829	0.00프로입니다.
1831	0.0프로 입니다.
1833	예탁금이 예치된 기간에 언제든지 가능하십니다.
1835	네 상환하시는 날도 예치금이 만기되기전 언제나 가능하십니다.
1837	만기일까지 상환하지 못하실 경우에는 예탁금의 만기금으로 대출원금과 이자를 상환하시면 됩니다.
1839	맞습니다. 고객님
1841	지점방문과 전화 인터넷뱅킹으로 신청하는 방법이 있습니다.
1843	원하시는 날짜의 4일전에는 신청하셔야 합니다.
1845	당월에는 희망일자에 이체가 되지 않습니다.
1847	네 그렇습니다.
1849	관계를 증명할 수 있는 가족관계증명서가 필요합니다.
1851	3개월 이내 발급받은 서류만 가능합니다.
1853	블가능 합니다.
1855	타행자동이체 신청을 하시면 됩니다.
1857	네 송금수수료가 발생할 수 있습니다.
1861	전세자금대출은 무주택세대만 가능한 대출상품입니다.
1864	그럼 전세자금대출이 가능하십니다.
1866	주거안정 월세자금과 버팀목전세자금 대출이 있습니다
1868	네 가능하십니다.
1870	네 홈페이지에 검색하시면 좀더자세한 설명을 보실수 있습니다.
1872	전세자금대출은 전세금을 담보로 대출해드리는 상품은 아닙니다.
1874	자격요건이나 주택 유형별로 고객님의 신용을 조회하여 대출해 드리는 상품입니다.
1876	대출 가능 조건이 계속 충족 된다면 이사하신 주택으로 전입신고하시면 이사시 상환하실 필요는 없습니다.
1878	네 상환하셔야 합니다.
1881	네 해외송금은 24시간 가능합니다.
1883	주말에도 해외송금 업무는 가능합니다.
1889	입금을 완료하셨으면 은행 익영업일에 순차적으로 해외로 발송됩니다.
1892	미국일 경우 월요일 영업시간 중에 도착될 것으로 예상됩니다.
1894	각 국마다 해외은행의 업무처리에 따라 수취계좌에 입금되는 때는 달라질 수 있습니다.
